Sample_Name;COSMIC_ID;Cancer_Type;Microsatellite_Instability_Status;Screen_Medium;Growth_Properties
A253;906794;;MSS/MSI-L;D/F12;Adherent
BB30-HNC;753531;HNSC;MSS/MSI-L;D/F12;Adherent
BB49-HNC;753532;HNSC;MSS/MSI-L;D/F12;Adherent
BHY;753535;HNSC;MSS/MSI-L;D/F12;Adherent
BICR10;1290724;HNSC;MSS/MSI-L;D/F12;Adherent
BICR22;1240121;HNSC;MSS/MSI-L;D/F12;Adherent
BICR31;1290725;HNSC;MSS/MSI-L;D/F12;Adherent
BICR78;1240122;HNSC;MSS/MSI-L;D/F12;Adherent
Ca9-22;753538;HNSC;MSS/MSI-L;D/F12;Adherent
CAL-27;910916;HNSC;MSS/MSI-L;D/F12;Adherent
CAL-33;753541;HNSC;MSS/MSI-L;D/F12;Adherent
Detroit562;906837;HNSC;MSS/MSI-L;D/F12;Adherent
DOK;910936;HNSC;MSS/MSI-L;D/F12;Adherent
FADU;906863;HNSC;MSS/MSI-L;D/F12;Adherent
H3118;1240140;;MSS/MSI-L;R;Adherent
HN;907059;HNSC;MSS/MSI-L;D/F12;Adherent
HO-1-N-1;924111;HNSC;MSS/MSI-L;D/F12;Adherent
HO-1-u-1;753561;HNSC;MSS/MSI-L;D/F12;Adherent
HSC-2;753562;HNSC;MSS/MSI-L;D/F12;Adherent
HSC-3;907061;HNSC;MSS/MSI-L;D/F12;Adherent
HSC-4;907062;HNSC;MSS/MSI-L;D/F12;Adherent
JHU-011;1240161;HNSC;MSS/MSI-L;R;Adherent
JHU-022;1240162;HNSC;MSS/MSI-L;R;Adherent
KON;1298215;HNSC;MSS/MSI-L;D/F12;Adherent
KOSC-2;753570;HNSC;MSS/MSI-L;R;Adherent
LB771-HNC;753583;HNSC;MSS/MSI-L;D/F12;Adherent
OSC-19;1298362;HNSC;MSS/MSI-L;D/F12;Adherent
OSC-20;1240196;HNSC;MSS/MSI-L;D/F12;Adherent
PCI-15A;1240204;HNSC;MSS/MSI-L;R;Adherent
PCI-30;1298529;HNSC;MSS/MSI-L;R;Adherent
PCI-38;1240205;HNSC;MSS/MSI-L;R;Adherent
PCI-4B;1298531;HNSC;MSS/MSI-L;R;Adherent
PCI-6A;1240206;HNSC;MSS/MSI-L;R;Adherent
PE/CA-PJ15;1240207;HNSC;MSS/MSI-L;D/F12;Adherent
