COSMIC_ID,Drug_1,Drug_2,Drug_3,Drug_4
910944,0.641369625,2.049716747,-0.035383729,0.272437809
1295741,0.7178838,0.864208846,0.701970029,1.209835559
910692,1.892087346,2.139807037,0.851740306,0.673989851
1297439,2.269758503,2.303914224,1.137956281,1.698989416
906838,1.358367686,1.161891912,2.060527972,1.093045484
753555,1.984610303,1.377847132,1.956952093,1.422838991
684057,1.519423991,0.951454991,0.841297874,0.853289094
907041,1.233416106,1.432464123,2.087174146,0.989598107
1327766,1.736361554,0.974911489,1.333387727,0.437846558
907279,2.371351082,1.179930004,1.579570323,1.670846858
907282,2.169542376,1.341109125,1.907014955,1.596974044
753579,1.044948436,1.81407169,2.310722965,1.472980718
907791,1.474238478,1.742972113,1.476803397,1.217399765
917486,1.889330675,2.235206694,0.589979144,1.561238131
907795,1.737130566,1.884863134,0.314804492,1.33753185
910948,2.058180299,1.548579261,2.161615449,1.429366322
908149,0.726401789,1.867035997,1.293468381,0.713542312
753595,1.70090265,0.13777514,0.508464423,1.475022358
908159,1.568248409,1.532643211,0.67793202,1.167062636
684681,2.377620246,2.19681796,2.514274309,1.798527562
688014,1.448914912,2.15229476,1.554768033,1.345600127
687600,1.919599093,1.920409847,2.226002684,1.177948486
908445,1.972479865,1.747262189,1.554491073,1.411508247
910861,1.947194227,1.29444754,1.254629511,1.346766341
909713,0.8640272,-1.855921443,2.564660644,1.737484144
905955,2.044111099,0.393011812,2.01545046,0.950407575
1331032,1.190381667,1.756020495,-0.385253084,1.225152434
753621,2.28586212,1.327867672,2.093989461,1.281411622
946356,2.217213749,1.889152648,1.657799113,1.624588253
735784,1.901387628,2.232687621,1.594848161,1.037754279
687562,1.868963959,NA,1.378577722,1.153839813
906794,2.020074731,2.076545582,1.951901719,1.415659034
910691,2.082050374,2.216101931,0.930346648,1.490637165
946368,1.715153007,2.277186312,2.38298627,1.325141427
687983,2.224628008,1.179469016,2.449294435,1.622568017
1297446,1.827262143,0.738979241,0.750389559,0.862884683
1240128,1.829742735,-1.293732358,0.619128507,1.223211925
684059,1.621684054,0.735937388,0.267230294,0.79634842
906861,2.011561475,1.649039171,0.746524835,1.372714029
949163,1.891006772,1.894174704,0.46086675,1.289215914
684062,2.248038697,1.022083652,2.256531275,1.260770837
1297449,0.968009997,1.587982411,0.397892079,0.718753412
687568,1.692353017,1.256553478,0.835746637,1.584540263
906872,0.935145623,0.327164434,1.075187326,1.410236331
749715,2.033287359,2.08248308,1.166979315,0.438195238
907172,1.804783513,-0.318278129,1.527311825,1.459514977
905940,1.751239824,0.954197159,1.275810043,-1.95554673
907322,1.838051572,1.911225338,2.486373053,1.341902153
949170,1.011932466,2.276903198,1.957549945,1.650536687
724863,2.344795035,2.240153309,1.065406496,1.744623057
908143,1.639595157,1.819723644,1.227166239,1.481977649
1323913,1.694894026,0.666188334,0.326575538,0.590389813
